Id,Label,fonction,cluster
aves_aa_4R_auth_0001,"metziger, wilhelm",personne,
aves_aa_4R_auth_0002,"colmar, von, hannemann",personne,
aves_aa_4R_auth_0003,"gerung, judengasse, in",personne,
aves_aa_4R_auth_0004,"rotschilt, wilhelm",personne,
aves_aa_4R_auth_0005,"spielmann, claus",personne,
aves_aa_4R_auth_0006,"schott, claus",personne,
aves_aa_4R_auth_0007,"issenhausen, ulrich",personne,
aves_aa_4R_auth_0008,sigel,personne,
aves_aa_4R_auth_0009,"kindelin, erhart",personne,
aves_aa_4R_auth_0010,"andres, rossmarkt, am",personne,
aves_aa_4R_auth_0011,"gumbrecht, von, diebolt",personne,
aves_aa_4R_auth_0012,"boppe, küntz",personne,
aves_aa_4R_auth_0013,"tummeler, dietrich",personne,
aves_aa_4R_auth_0014,"westermann, johanns",personne,
aves_aa_4R_auth_0015,"heischer, lienhart",personne,
aves_aa_4R_auth_0016,"laubeck, johanns",personne,
aves_aa_4R_auth_0017,"honau, peter",personne,
aves_aa_4R_auth_0018,"hühnerer, ulrich",personne,
aves_aa_4R_auth_0019,"nattener, andres",personne,
aves_aa_4R_auth_0020,"schwicker, johanns",personne,
aves_aa_4R_auth_0021,"aler, heintz",personne,
aves_aa_4R_auth_0022,"gosse, ulrich",personne,
aves_aa_4R_auth_0023,"ingenheim, von, claus",personne,
aves_aa_4R_auth_0024,"diether, johanns",personne,
aves_aa_4R_auth_0025,"dingsheim, claus",personne,
aves_aa_4R_auth_0026,"hagenau, von, peter, hagenau, von",personne,
aves_aa_4R_auth_0027,"stachel, küntz",personne,
aves_aa_4R_auth_0028,"klige, hug, staden, am",personne,
aves_aa_4R_auth_0029,"rhinau, walther",personne,
aves_aa_4R_auth_0030,"sünner, peter",personne,
aves_aa_4R_auth_0031,"barpfennig, ruhlemann",personne,
aves_aa_4R_auth_0032,"johanns, sankt-thoman",personne,
aves_aa_4R_auth_0033,"berse, von, wilhelm",personne,
aves_aa_4R_auth_0034,"herbst, johanns",personne,
aves_aa_4R_auth_0035,"langneffe, johanns",personne,
aves_aa_4R_auth_0036,"hanseler, johanns",personne,
aves_aa_4R_auth_0037,"kranich, heinrich",personne,
aves_aa_4R_auth_0038,"gans, johanns",personne,
aves_aa_4R_auth_0039,"trüchtersheim, von, eberhart",personne,
aves_aa_4R_auth_0040,heilmann,personne,
aves_aa_4R_auth_0041,"nellesheim, johanns, rethanns der junge",personne,
aves_aa_4R_auth_0042,"seelose, heintz",personne,
aves_aa_4R_auth_0043,"münch, ottemann",personne,
aves_aa_4R_auth_0044,"beildeck, fritsch",personne,
aves_aa_4R_auth_0045,"christian, barfüssern, vor den",personne,
aves_aa_4R_auth_0046,"henneckin, claus",personne,
aves_aa_4R_auth_0047,"rhinau, andres",personne,
aves_aa_4R_auth_0048,"stacheler, johanns",personne,
aves_aa_4R_auth_0049,stoffelus,personne,
aves_aa_4R_auth_0050,"pfennigmann, johanns",personne,
aves_aa_4R_auth_0051,"saltzmütter, johanns, der junge",personne,
aves_aa_4R_auth_0052,"dolde, johanns",personne,
aves_aa_4R_auth_0053,"schrotbanck, walther",personne,
aves_aa_4R_auth_0054,"wigang, ",personne,
aves_aa_4R_auth_0055,"kleinhanns, diethmar",personne,
aves_aa_4R_auth_0056,"kornbick, claus",personne,
aves_aa_4R_auth_0057,"bobst, lienhart",personne,
aves_aa_4R_auth_0058,"ölmann, walther",personne,
aves_aa_4R_auth_0059,"barpfennig, johanns",personne,
aves_aa_4R_auth_0060,"küntz, staden, am",personne,
aves_aa_4R_auth_0061,"färber, johanns",personne,
aves_aa_4R_auth_0062,"heinrich, johanns, zoller, zum",personne,
aves_aa_4R_auth_0063,"stumpf, heintz",personne,
aves_aa_4R_auth_0064,"bergheim, johanns, ammeister",personne,
aves_aa_4R_auth_0065,"sporer, stefan",personne,
aves_aa_4R_auth_0066,"schön, heintz",personne,
aves_aa_4R_auth_0067,"obrecht, der lange",personne,
aves_aa_4R_auth_0068,"schultheiss, küntz",personne,
aves_aa_4R_auth_0069,"klammann, andres",personne,
aves_aa_4R_auth_0070,"rickersheim, küntz",personne,
aves_aa_4R_auth_0071,"bock, johanns",personne,
