Id,Label,timeset,fonction,cluster,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class
aves_aa_4R_auth_0001,"metziger, wilhelm",,personne,,6,6,8,0.218936,0.249136,1928.183194,1
aves_aa_4R_auth_0002,"colmar, von, hannemann",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0003,"gerung, judengasse, in",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0004,"rotschilt, wilhelm",,personne,,2,2,8,0.221573,0.239349,1041.90839,1
aves_aa_4R_auth_0005,"spielmann, claus",,personne,,5,5,8,0.221809,0.250402,1466.396925,1
aves_aa_4R_auth_0006,"schott, claus",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0007,"issenhausen, ulrich",,personne,,4,4,10,0.197443,0.226532,824.386443,1
aves_aa_4R_auth_0008,sigel,,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0009,"kindelin, erhart",,personne,,3,3,8,0.2129,0.235817,1202.757055,1
aves_aa_4R_auth_0010,"andres, rossmarkt, am",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0011,"gumbrecht, von, diebolt",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0012,"boppe, küntz",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0013,"tummeler, dietrich",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0014,"westermann, johanns",,personne,,2,2,10,0.186272,0.207343,80.596413,1
aves_aa_4R_auth_0015,"heischer, lienhart",,personne,,3,3,10,0.18846,0.212886,200.878503,1
aves_aa_4R_auth_0016,"laubeck, johanns",,personne,,4,4,8,0.20488,0.231804,704.459817,1
aves_aa_4R_auth_0017,"honau, peter",,personne,,3,3,8,0.199713,0.222219,222.906777,1
aves_aa_4R_auth_0018,"hühnerer, ulrich",,personne,,2,2,8,0.199585,0.21934,111.877499,1
aves_aa_4R_auth_0019,"nattener, andres",,personne,,5,5,8,0.218172,0.246698,1613.31892,1
aves_aa_4R_auth_0020,"schwicker, johanns",,personne,,2,2,10,0.186605,0.207383,45.024405,1
aves_aa_4R_auth_0021,"aler, heintz",,personne,,1,1,10,0.182468,0.199186,0,1
aves_aa_4R_auth_0022,"gosse, ulrich",,personne,,11,11,8,0.245776,0.281677,9841.752802,1
aves_aa_4R_auth_0023,"ingenheim, von, claus",,personne,,4,4,8,0.227455,0.250351,2494.23263,1
aves_aa_4R_auth_0024,"diether, johanns",,personne,,4,4,8,0.237742,0.259521,2897.042554,1
aves_aa_4R_auth_0025,"dingsheim, claus",,personne,,4,4,8,0.209759,0.23505,689.360333,1
aves_aa_4R_auth_0026,"hagenau, von, peter, hagenau, von",,personne,,2,2,8,0.199585,0.21934,111.877499,1
aves_aa_4R_auth_0027,"stachel, küntz",,personne,,5,5,8,0.21458,0.243367,1298.347731,1
aves_aa_4R_auth_0028,"klige, hug, staden, am",,personne,,10,10,8,0.255306,0.290125,10613.408537,14
aves_aa_4R_auth_0029,"rhinau, walther",,personne,,3,3,10,0.18846,0.212886,200.878503,1
aves_aa_4R_auth_0030,"sünner, peter",,personne,,5,5,8,0.21261,0.241059,908.538067,1
aves_aa_4R_auth_0031,"barpfennig, ruhlemann",,personne,,13,13,8,0.258364,0.295759,12081.860803,1
aves_aa_4R_auth_0032,"johanns, sankt-thoman",,personne,,3,3,8,0.199331,0.222712,377.715669,1
aves_aa_4R_auth_0033,"berse, von, wilhelm",,personne,,3,3,8,0.20269,0.225908,241.482218,1
aves_aa_4R_auth_0034,"herbst, johanns",,personne,,2,2,8,0.196884,0.216904,148.746218,1
aves_aa_4R_auth_0035,"langneffe, johanns",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0036,"hanseler, johanns",,personne,,4,4,8,0.236484,0.258109,2559.070321,1
aves_aa_4R_auth_0037,"kranich, heinrich",,personne,,5,5,8,0.21802,0.246538,2087.518116,1
aves_aa_4R_auth_0038,"gans, johanns",,personne,,4,4,8,0.21089,0.23807,773.406827,1
aves_aa_4R_auth_0039,"trüchtersheim, von, eberhart",,personne,,7,7,8,0.244814,0.273679,4975.34681,1
aves_aa_4R_auth_0040,heilmann,,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0041,"nellesheim, johanns, rethanns der junge",,personne,,2,2,10,0.183539,0.204564,173.988558,1
aves_aa_4R_auth_0042,"seelose, heintz",,personne,,7,7,8,0.235593,0.265672,3208.652635,1
aves_aa_4R_auth_0043,"münch, ottemann",,personne,,2,2,8,0.19895,0.218542,117.268675,1
aves_aa_4R_auth_0044,"beildeck, fritsch",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0045,"christian, barfüssern, vor den",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0046,"henneckin, claus",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0047,"rhinau, andres",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0048,"stacheler, johanns",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0049,stoffelus,,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0050,"pfennigmann, johanns",,personne,,2,2,8,0.204479,0.224102,138.863637,1
aves_aa_4R_auth_0051,"saltzmütter, johanns, der junge",,personne,,3,3,8,0.204278,0.227946,270.901011,1
aves_aa_4R_auth_0052,"dolde, johanns",,personne,,2,2,8,0.204212,0.22521,241.060663,1
aves_aa_4R_auth_0053,"schrotbanck, walther",,personne,,4,4,8,0.21802,0.243754,978.573402,1
aves_aa_4R_auth_0054,"wigang,",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0055,"kleinhanns, diethmar",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0056,"kornbick, claus",,personne,,1,1,10,0.180467,0.196517,0,1
aves_aa_4R_auth_0057,"bobst, lienhart",,personne,,11,11,8,0.253753,0.28975,12591.821365,1
aves_aa_4R_auth_0058,"ölmann, walther",,personne,,4,4,8,0.212827,0.238238,675.412105,1
aves_aa_4R_auth_0059,"barpfennig, johanns",,personne,,5,5,8,0.232874,0.257802,3251.528594,1
aves_aa_4R_auth_0060,"küntz, staden, am",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0061,"färber, johanns",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0062,"heinrich, johanns, zoller, zum",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0063,"stumpf, heintz",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0064,"bergheim, johanns, ammeister",,personne,,3,3,8,0.201644,0.225577,611.730759,1
aves_aa_4R_auth_0065,"sporer, stefan",,personne,,6,6,8,0.213045,0.246225,2061.836449,1
aves_aa_4R_auth_0066,"schön, heintz",,personne,,2,2,8,0.197943,0.218816,217.774958,1
aves_aa_4R_auth_0067,"obrecht, der lange",,personne,,3,3,8,0.212106,0.235147,646.973788,1
aves_aa_4R_auth_0068,"schultheiss, küntz",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0069,"klammann, andres",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0070,"rickersheim, küntz",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0071,"bock, johanns",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0072,"lamb, hensel, teich, am",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0073,"obrecht, johanns, schintbrücke, an der",,personne,,2,2,8,0.231068,0.246931,2350.554246,1
aves_aa_4R_auth_0074,"schmied, lienhart, trachenfeils, zu",,personne,,2,2,8,0.197256,0.217077,146.304734,1
aves_aa_4R_auth_0075,"schenck, johanns",,personne,4.0,6,6,8,0.241599,0.268052,6429.636024,2
aves_aa_4R_auth_0076,"steck, johanns",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0077,"steingewerck, claus",,personne,,3,3,8,0.199522,0.222286,295.451487,1
aves_aa_4R_auth_0078,"mörlin, johanns",,personne,,2,2,8,0.198634,0.218415,169.0098,1
aves_aa_4R_auth_0079,"altheim, claus",,personne,,1,1,10,0.177497,0.193325,0,1
aves_aa_4R_auth_0080,"heilmann, johanns",,personne,,9,9,8,0.222045,0.257223,3215.554055,1
aves_aa_4R_auth_0081,"geispoltzheim, von, jacob, der junge",,personne,2.0,19,19,6,0.288249,0.328737,43933.625681,3
aves_aa_4R_auth_0082,"müseler, peter",,personne,,4,4,8,0.214139,0.23966,562.26098,1
aves_aa_4R_auth_0083,"armbruster, obrecht",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0084,"küntzlin, diethmar, bosser, zum",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0085,"kirwiller, von, gerbot",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0086,"wassicher, heilmann",,personne,,2,2,8,0.201514,0.221367,105.303699,1
aves_aa_4R_auth_0087,"ruhlmann, lauwel",,personne,,4,4,8,0.228535,0.251031,782.689458,1
aves_aa_4R_auth_0088,"lorer, hermann",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0089,"miltenberg, johanns",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0090,"vogt, johanns, ettenheim, von",,personne,,2,2,8,0.206163,0.225911,221.120285,1
aves_aa_4R_auth_0091,"beildeck, jacob",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0092,"herring, oberlin",,personne,,4,4,8,0.214286,0.239433,590.201182,1
aves_aa_4R_auth_0093,"waltenheim, johanns",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0094,"melbrühe, michel",,personne,,6,6,8,0.237652,0.264144,2210.559609,1
aves_aa_4R_auth_0095,"martin, johanns",,personne,,2,2,8,0.204278,0.22421,75.952049,1
aves_aa_4R_auth_0096,"mönchelin, küntz",,personne,,3,3,8,0.210111,0.233132,333.855587,1
aves_aa_4R_auth_0097,"rohrer, marx",,personne,,3,3,8,0.209267,0.23136,196.737971,1
aves_aa_4R_auth_0098,"rüllin, claus",,personne,,2,2,8,0.207051,0.227478,129.376633,1
aves_aa_4R_auth_0099,"wecker, jeckel",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0100,"nesselbach, erhart",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0101,"hühnerer, lauwel",,personne,,3,3,8,0.225649,0.245448,515.634947,1
aves_aa_4R_auth_0102,"altheim, jacob",,personne,,1,1,8,0.195164,0.210522,0,1
aves_aa_4R_auth_0103,"friedel, lauwel",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0104,"wingersheim, peter",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0105,"kammerer, johanns",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0106,"spirer, anshelm",,personne,,5,5,8,0.239931,0.26446,3552.203342,4
aves_aa_4R_auth_0107,"lorer, johanns",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0108,"menniger, johanns",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0109,"kacheler, johanns",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0110,"mönchelin, johanns",,personne,,2,2,8,0.200867,0.221192,115.242643,1
aves_aa_4R_auth_0111,"oberkirch, von, lauwel",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0112,"pfau, johanns",,personne,2.0,9,9,8,0.245873,0.280043,9417.982116,1
aves_aa_4R_auth_0113,"berner, johanns",,personne,,2,2,10,0.190759,0.212375,75.265764,1
aves_aa_4R_auth_0114,"albrecht, johanns, schintbrücke, an der",,personne,,2,2,10,0.190759,0.212375,75.265764,1
aves_aa_4R_auth_0115,"messinger, heintz",,personne,,4,4,8,0.216586,0.242368,870.49092,1
aves_aa_4R_auth_0116,"girbaden, hensel",,personne,,1,1,10,0.182308,0.198832,0,1
aves_aa_4R_auth_0117,"kistner, reinhart, bruch, im",,personne,,3,3,8,0.20197,0.225284,321.039882,1
aves_aa_4R_auth_0118,"willgottheim, claus",,personne,,5,5,8,0.229289,0.254415,1590.725687,1
aves_aa_4R_auth_0119,"rottweil, von, erhart",,personne,,2,2,8,0.204746,0.225615,152.34596,2
aves_aa_4R_auth_0120,"hagenau, von, wernher",,personne,,4,4,8,0.224194,0.247662,673.110785,1
aves_aa_4R_auth_0121,"schanlit, walther",,personne,,2,2,8,0.200803,0.221292,86.43082,1
aves_aa_4R_auth_0122,"weissgerber, fritsch",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0123,"wormser, claus",,personne,,3,3,8,0.242442,0.2599,1498.975352,1
aves_aa_4R_auth_0124,"hagenau, von, erhart",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0125,"stegemann, eberhart",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0126,"hechde, claus",,personne,,2,2,8,0.206709,0.225591,58.242035,1
aves_aa_4R_auth_0127,"arge, claus",,personne,,5,5,8,0.215244,0.243215,627.17127,1
aves_aa_4R_auth_0128,"melbrühe, claus",,personne,,15,15,8,0.267308,0.308415,16798.046218,1
aves_aa_4R_auth_0129,"wintzler, peter",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0130,"lamb, johanns",,personne,2.0,9,9,6,0.264482,0.29154,14376.353446,11
aves_aa_4R_auth_0131,"messerer, claus",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0132,"frei, uhlmann",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0133,"fritschmann, hug",,personne,,1,1,8,0.193773,0.209983,0,1
aves_aa_4R_auth_0134,"riffe, peter",,personne,4.0,5,5,8,0.238467,0.260221,3576.175047,14
aves_aa_4R_auth_0135,"gerter, küntz",,personne,,2,2,8,0.219628,0.236176,163.722966,1
