,id,corporation,poele|metier,am,am_av_1444,am_ap_1444,cons,cons_av_1444,cons_ap_1444,total,cluster
0,aves_aa_4R_auth_0075,group_27,,0,0,0,5,5,0,5,4
1,aves_aa_4R_auth_0081,group_06,,3,3,0,15,13,2,18,2
2,aves_aa_4R_auth_0112,group_19,,0,0,0,8,8,0,8,2
3,aves_aa_4R_auth_0130,group_23,group_45,0,0,0,7,7,0,7,2
4,aves_aa_4R_auth_0134,group_05,group_44,0,0,0,3,3,0,3,4
5,aves_aa_4R_auth_0136,group_08,,4,3,1,12,12,0,16,2
6,aves_aa_4R_auth_0141,group_16,,0,0,0,3,3,0,3,4
7,aves_aa_4R_auth_0152,group_14,,0,0,0,6,5,1,6,4
8,aves_aa_4R_auth_0157,group_24,group_64,0,0,0,4,4,0,4,4
9,aves_aa_4R_auth_0173,group_15,group_39,0,0,0,4,4,0,4,4
10,aves_aa_4R_auth_0179,group_26,,0,0,0,6,6,0,6,2
11,aves_aa_4R_auth_0188,group_13,,0,0,0,7,7,0,7,2
12,aves_aa_4R_auth_0193,group_21,,0,0,0,7,7,0,7,2
13,aves_aa_4R_auth_0208,group_20,group_72,0,0,0,3,3,0,3,4
14,aves_aa_4R_auth_0222,group_25,,0,0,0,6,5,1,6,4
15,aves_aa_4R_auth_0224,group_32,group_68,0,0,0,1,1,0,1,0
16,aves_aa_4R_auth_0225,group_05,group_44,0,0,0,2,2,0,2,4
17,aves_aa_4R_auth_0238,group_07,group_46,2,2,0,9,9,0,11,2
18,aves_aa_4R_auth_0245,group_19,,0,0,0,5,4,1,5,4
19,aves_aa_4R_auth_0253,group_09,,0,0,0,3,3,0,3,4
20,aves_aa_4R_auth_0254,group_08,,0,0,0,4,4,0,4,4
21,aves_aa_4R_auth_0256,group_14,,0,0,0,2,2,0,2,4
22,aves_aa_4R_auth_0261,group_22,group_38,0,0,0,13,5,8,13,3
23,aves_aa_4R_auth_0262,group_24,group_64,0,0,0,4,2,2,4,1
24,aves_aa_4R_auth_0268,group_11,group_40,1,1,0,10,10,0,11,2
25,aves_aa_4R_auth_0305,group_28,,0,0,0,4,3,1,4,4
26,aves_aa_4R_auth_0309,group_07,group_46,0,0,0,3,3,0,3,4
27,aves_aa_4R_auth_0311,group_13,,0,0,0,9,6,3,9,2
28,aves_aa_4R_auth_0312,group_14,,0,0,0,4,3,1,4,4
